bookid	responseid	num_sentences	Emotional_impact	Narrative_feeling	Reflection	Aesthetic_feeling	All
41143	397545	7	2	1	0	2	5
41143	397552	7	0	2	0	0	2
41143	397572	7	0	1	0	0	1
41143	397575	7	0	1	0	0	1
41143	397604	7	1	1	0	0	2
41143	397611	7	2	0	0	1	3
41143	397624	7	1	1	0	1	3
41143	397631	7	3	2	0	1	6
41143	397653	7	1	2	0	0	3
41143	397680	7	2	4	0	0	6
41143	397692	7	0	0	1	1	2
41143	397693	7	2	1	0	0	3
41143	397700	7	1	1	0	1	3
41143	397738	7	0	0	0	0	0
41143	397743	7	0	0	0	3	3
41143	397756	7	1	0	0	0	1
41143	397764	7	1	5	0	1	7
41143	397774	7	2	0	0	2	4
41143	397785	7	0	0	0	2	2
41143	397786	7	3	0	0	1	4
41143	397791	7	2	3	0	0	5
41143	397792	7	0	2	1	0	3
41143	397798	7	1	0	1	0	2
41143	397813	7	1	0	0	0	1
41143	397819	7	1	1	0	0	2
41143	397866	7	0	0	0	2	2
41143	397867	7	1	1	0	2	4
41143	397874	7	3	1	0	0	4
41143	397894	7	0	1	0	0	1
41143	397896	7	1	1	0	0	2
41143	397959	7	1	2	0	1	4
41143	397975	7	0	0	0	0	0
41143	397984	7	1	2	0	0	3
41143	397994	7	1	1	0	0	2
41143	398013	7	1	2	0	2	5
41143	398052	7	1	0	0	0	1
41143	398061	7	3	0	0	2	5
41143	398080	7	0	2	0	1	3
41143	398097	7	1	3	1	3	8
41143	398098	7	1	1	0	0	2
41143	398103	7	3	2	0	0	5
41143	398121	7	4	1	0	0	5
41143	398133	7	3	0	1	0	4
41143	398141	7	0	0	0	1	1
41143	398169	7	2	0	1	3	6
41143	398183	7	3	3	0	0	6
41143	398198	7	2	0	0	1	3
41143	398204	7	2	2	0	1	5
41143	398221	7	0	4	0	1	5
41143	398234	7	0	2	0	0	2
41143	398243	7	1	1	0	0	2
41143	398244	7	1	0	0	1	2
41143	398258	7	2	1	0	3	6
41143	398276	7	2	0	0	2	4
41143	398293	7	1	1	0	1	3
41143	398316	7	0	2	0	0	2
41143	398338	7	2	1	0	1	4
41143	398346	7	2	0	0	0	2
41143	398356	7	2	3	0	2	7
41143	398360	7	3	2	0	0	5
41143	186432	6	2	1	0	0	3
41143	197302	6	1	2	0	0	3
41143	200627	6	1	4	0	1	6
41143	204986	6	0	2	0	2	4
41143	206663	6	0	0	0	1	1
41143	207099	6	1	1	0	3	5
41143	207642	6	4	1	0	1	6
41143	216843	6	2	1	2	0	5
41143	220382	6	1	0	0	2	3
41143	220511	6	1	3	0	0	4
41143	279836	6	1	0	0	1	2
41143	279838	6	2	1	0	1	4
41143	397212	6	0	1	0	0	1
41143	397217	6	1	0	0	0	1
41143	397231	6	0	4	0	2	6
41143	397251	6	2	0	0	1	3
41143	397275	6	2	1	1	0	4
41143	397290	6	0	0	1	0	1
41143	397295	6	0	2	0	0	2
41143	397381	6	0	1	0	0	1
41143	397391	6	0	0	0	1	1
41143	397396	6	4	1	0	2	7
41143	397445	6	2	1	0	0	3
41143	397446	6	1	2	0	3	6
41143	397484	6	1	1	0	0	2
41143	397497	6	2	3	0	0	5
41143	397502	6	0	0	0	1	1
41143	397514	6	0	0	0	1	1
41143	397573	6	1	1	0	1	3
41143	397585	6	2	0	0	0	2
41143	397593	6	4	0	0	1	5
41143	397595	6	0	1	0	0	1
41143	397605	6	2	0	0	0	2
41143	397607	6	4	1	1	2	8
41143	397615	6	1	1	0	0	2
41143	397629	6	3	0	0	0	3
41143	397635	6	2	1	0	1	4
41143	397637	6	0	0	1	1	2
41143	397647	6	0	1	0	1	2
41143	397651	6	1	1	0	1	3
41143	397674	6	1	1	0	1	3
41143	397683	6	0	0	0	1	1
41143	397689	6	0	0	1	0	1
41143	397711	6	0	0	0	0	0
41143	397713	6	0	2	0	1	3
41143	397720	6	1	1	0	2	4
41143	397744	6	1	1	0	0	2
41143	397749	6	1	1	0	2	4
41143	397761	6	4	2	0	2	8
41143	397789	6	1	2	1	1	5
41143	397822	6	2	0	0	1	3
41143	397823	6	2	2	0	0	4
41143	397868	6	1	1	1	1	4
41143	397883	6	2	6	0	1	9
41143	397886	6	6	1	0	0	7
41143	397925	6	3	2	0	0	5
41143	397926	6	0	0	1	0	1
41143	397930	6	3	2	0	5	10
41143	397932	6	0	2	0	0	2
41143	397963	6	0	0	0	3	3
41143	397993	6	1	0	0	0	1
41143	398016	6	2	0	0	0	2
41143	398034	6	2	0	0	1	3
41143	398035	6	1	2	0	1	4
41143	398041	6	1	0	0	0	1
41143	398054	6	1	0	0	1	2
41143	398062	6	0	0	0	1	1
41143	398065	6	0	1	0	1	2
41143	398068	6	2	1	0	1	4
41143	398072	6	3	1	0	2	6
41143	398073	6	0	0	0	1	1
41143	398078	6	0	2	0	0	2
41143	398101	6	2	1	0	0	3
41143	398120	6	1	1	0	2	4
41143	398122	6	2	1	0	2	5
41143	398147	6	0	1	1	0	2
41143	398162	6	1	3	0	1	5
41143	398163	6	2	3	0	1	6
41143	398173	6	2	0	0	0	2
41143	398174	6	1	0	0	0	1
41143	398187	6	1	1	0	1	3
41143	398188	6	2	1	0	2	5
41143	398194	6	1	0	0	1	2
41143	398201	6	0	1	0	0	1
41143	398208	6	1	2	0	0	3
41143	398213	6	1	0	0	2	3
41143	398254	6	2	0	0	0	2
41143	184560	5	1	4	2	0	7
41143	186207	5	1	1	0	0	2
41143	188499	5	2	0	0	0	2
41143	191590	5	1	0	0	0	1
41143	191603	5	0	0	0	0	0
41143	198086	5	2	0	0	2	4
41143	198679	5	1	0	0	0	1
41143	201319	5	0	1	0	2	3
41143	201585	5	0	1	0	2	3
41143	203365	5	1	1	0	0	2
41143	204888	5	1	1	0	1	3
41143	205543	5	0	1	0	2	3
41143	207237	5	1	1	0	0	2
41143	207734	5	1	1	0	0	2
41143	215767	5	1	0	0	0	1
41143	279824	5	1	0	0	2	3
41143	369566	5	0	0	0	0	0
41143	397220	5	0	0	0	1	1
41143	397221	5	2	0	0	0	2
41143	397222	5	1	1	0	0	2
41143	397230	5	1	1	0	0	2
41143	397237	5	1	0	0	0	1
41143	397247	5	3	0	0	2	5
41143	397254	5	0	0	0	0	0
41143	397272	5	0	0	0	0	0
41143	397277	5	2	0	0	2	4
41143	397292	5	1	0	0	2	3
41143	397294	5	1	1	0	1	3
41143	397303	5	0	0	0	0	0
41143	397309	5	3	3	0	0	6
41143	397314	5	0	1	0	0	1
41143	397332	5	2	1	0	0	3
41143	397344	5	3	2	0	0	5
41143	397351	5	1	1	0	2	4
41143	397352	5	0	0	0	0	0
41143	397362	5	3	0	1	0	4
41143	397364	5	0	1	0	1	2
41143	397383	5	0	1	1	0	2
41143	397387	5	1	0	0	0	1
41143	397397	5	1	0	0	1	2
41143	397398	5	0	2	0	0	2
41143	397400	5	1	1	0	0	2
41143	397412	5	0	0	1	0	1
41143	397413	5	0	0	0	0	0
41143	397426	5	0	0	0	1	1
41143	397433	5	1	2	0	0	3
41143	397434	5	2	0	0	1	3
41143	397437	5	1	2	0	0	3
41143	397444	5	1	2	0	2	5
41143	397452	5	4	0	1	1	6
41143	397453	5	1	0	0	2	3
41143	397456	5	1	0	1	0	2
41143	397466	5	2	0	0	0	2
41143	397467	5	0	1	0	0	1
41143	397475	5	1	0	0	1	2
41143	397493	5	1	1	0	2	4
41143	397503	5	0	0	0	0	0
41143	397505	5	0	1	0	1	2
41143	397509	5	1	0	0	1	2
41143	397510	5	1	2	0	0	3
41143	397518	5	0	0	0	2	2
41143	397522	5	0	1	0	0	1
41143	397537	5	2	0	0	0	2
41143	397544	5	1	2	0	0	3
41143	397554	5	2	0	0	0	2
41143	397580	5	1	1	0	0	2
41143	397590	5	0	0	0	0	0
41143	397596	5	1	1	0	0	2
41143	397598	5	0	3	0	2	5
41143	397619	5	0	0	0	0	0
41143	397621	5	1	2	0	0	3
41143	397622	5	3	1	0	1	5
41143	397649	5	1	1	0	2	4
41143	397652	5	1	0	0	3	4
41143	397655	5	1	0	0	0	1
41143	397657	5	2	0	0	3	5
41143	397690	5	1	0	0	3	4
41143	397694	5	5	1	0	6	12
41143	397696	5	1	0	0	0	1
41143	397699	5	0	1	0	0	1
41143	397721	5	0	2	1	0	3
41143	397722	5	3	1	0	0	4
41143	397734	5	2	0	0	1	3
41143	397750	5	1	2	0	1	4
41143	397754	5	2	1	0	1	4
41143	397759	5	0	2	0	2	4
41143	397770	5	2	1	0	0	3
41143	397775	5	2	3	1	1	7
41143	397795	5	0	1	0	0	1
41143	397807	5	0	0	0	1	1
41143	397809	5	2	3	0	2	7
41143	397814	5	1	0	0	0	1
41143	397831	5	3	2	1	1	7
41143	397863	5	1	2	0	0	3
41143	397872	5	1	0	0	1	2
41143	397884	5	0	2	0	2	4
41143	397889	5	0	0	0	0	0
41143	397890	5	1	1	0	0	2
41143	397899	5	0	0	0	0	0
41143	397907	5	2	1	0	2	5
41143	397915	5	2	2	0	2	6
41143	397917	5	2	0	0	0	2
41143	397949	5	1	0	0	0	1
41143	397952	5	2	2	0	1	5
41143	397962	5	0	2	0	0	2
41143	397973	5	1	0	0	1	2
41143	397986	5	1	2	0	0	3
41143	397995	5	2	3	0	0	5
41143	398002	5	1	0	0	0	1
41143	398003	5	0	2	1	0	3
41143	398026	5	1	1	0	2	4
41143	398030	5	0	0	0	0	0
41143	398032	5	0	1	0	0	1
41143	398067	5	1	1	0	0	2
